,PO / SO #,ASN/DN #,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1583,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,6684.0,14958.2,1060.6
1584,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,2970.0,7329.83,558.21
1585,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,156.17
1586,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,2068.0,8502.12,490.0
1587,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,722.0,2787.55,71.2
1588,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,0.87
1589,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,2991.0,7445.8,593.23
1590,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,4724.0,7445.8,937.29
1591,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,21.0,7445.8,12.35
1592,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,58.0,7445.8,34.06
1593,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,434.0,1854.88,95.45
1594,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,452.0,0.0,118.07
1595,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,1225.0,7445.71,435.37
1596,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,18.0,1799.88,1.79
1597,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,1404.0,1588.05,160.75
1598,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,No,0.0,0.0,165.02
1599,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,6684.0,14958.2,83.26
1600,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,6684.0,9341.49,1361.42
1601,SO,DN,PMO - US,From RDC,N/A - From RDC,Air Charter,ARV,Adult,Yes,2023.0,9341.49,575.75
1602,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,3626.0,4997.47,686.78
1603,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,31849.010000000002,1029.35
1605,SO,DN,PMO - US,From RDC,N/A - From RDC,Truck,ARV,Adult,Yes,640.0,2751.0,294.45
1606,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,256.0,12205.4,47.04
1607,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.04
1608,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.04
1609,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,HRDT,HIV test,Yes,191.0,1200.12,47.04
1610,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.04
1611,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,410.0,1931.0,47.04
1612,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,206.0,1583.0,47.04
1613,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,2630.0,13820.4,47.04
1614,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,25.0,516.84,47.04
1615,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,No,0.0,0.0,47.04
1616,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,0.0,1250.72,47.04
1617,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,265.0,11931.0,47.04
1618,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,239.0,1684.15,47.04
1619,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,47.04
1620,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,47.04
1621,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,974.0,3166.0,47.04
1622,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,235.0,1619.0,1.38
1623,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,95.0,1448.0,54.82
1624,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,6634.0,15561.0,27.28
1625,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.04
1626,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,26.0,505.17,47.04
1627,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,614.0,2880.35,185.44
1628,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,1313.0,3908.0,47.04
1629,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.04
1630,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,0.0,2805.51,47.04
1631,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,No,0.0,0.0,47.04
1632,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,HRDT,HIV test,Yes,213.0,2129.46,47.04
1633,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,3118.0,0.0,47.04
1634,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,222.0,1603.0,72.99
1635,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,195.0,4613.67,108.8
1636,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,35.0,364.51,3.12
1637,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,HRDT,HIV test,Yes,27.0,286.76,10.11
1638,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,8.59
1639,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,HRDT,HIV test,Yes,2334.0,9343.18,206.46
1640,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,870.0,1149.57,263.04
1641,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,2.51
1642,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,72.35
1643,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,280.0,1300.45,83.25
1644,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,514.0,740.43,11.44
1645,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,2270.0,6889.0,44.8
1646,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,2.43
1647,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,1436.0,5911.5,62.91
1648,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1020.0,1998.5,164.16
1649,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,36.0,1998.5,1.53
1650,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,3785.0,13116.0,105.39
1651,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,627.12
1652,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,47.74
1653,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,603.0,2839.2,43.73
1654,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,224.0
1655,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,No,0.0,0.0,77.63
1656,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,1084.0,5181.0,21.0
1657,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,4082.0,13484.72,877.05
1658,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,3.91
1659,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,2526.0,1871.05,460.8
1660,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,267.0,3094.0,6.84
1661,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test - Ancillary,No,0.0,0.0,0.01
1662,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,4256.0,5145.86,36.96
1663,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,177.6
1664,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,37.44
1665,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,100.8
1666,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,1482.0,1566.19,230.4
1667,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,2581.0,19832.46,420.75
1668,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,6684.0,12349.51,471.96
1669,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,711.74
1670,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,6684.0,25563.0,46.01
1671,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,133.36
1672,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,1620.0,6785.1,755.75
1673,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,3681.0,10666.0,340.48
1674,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1271.0,10722.75,71.49
1675,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,No,0.0,0.0,2.88
1676,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,0.26
1677,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,3.59
1678,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,No,0.0,0.0,11.07
1679,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Pediatric,Yes,6684.0,31849.010000000002,55.2
1680,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,ARV,Adult,Yes,3454.0,12492.0,877.05
1681,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,61.0,870.4,12.0
1682,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,43.0,1542.15,8.4
1683,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,2.19
1684,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,Yes,170.0,1301.0,1.46
1685,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,1594.0,6035.4,743.65
1686,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,HRDT,HIV test,Yes,1052.0,4641.85,112.26
1687,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,41.77
1688,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,No,0.0,0.0,5.12
1689,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,237.0,1154.5,31.68
1690,SO,DN,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,Yes,859.0,5531.4,39.46
1691,SO,DN,PMO - US,From RDC,N/A - From RDC,Other,HRDT,HIV test - Ancillary,No,0.0,0.0,0.03
