,PO / SO #,ASN/DN #,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
0,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,13.0,780.34,47.04
1,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,358.0,4521.5,47.04
2,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,HRDT,HIV test,Yes,171.0,1653.78,47.04
3,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1855.0,16007.06,47.04
4,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
5,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,504.0,5920.42,47.04
6,SCMS,ASN,PMO - US,Direct Drop,DDU,Air,ARV,Pediatric,Yes,328.0,0.0,47.04
7,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1478.0,6212.41,47.04
8,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,47.04
9,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,643.0,0.0,47.04
10,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,643.0,0.0,47.04
11,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,853.0,13569.49,47.04
13,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
14,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,256.0,1760.32,47.04
15,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,0.0,0.0,47.04
16,SCMS,ASN,PMO - US,Direct Drop,CIP,Other,HRDT,HIV test,Yes,0.0,0.0,192.0
17,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,710.0,3120.7,47.04
18,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,162.0,912.96,47.04
19,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,341.0,2682.47,128.0
20,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2278.0,15893.71,47.04
21,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,2126.0,0.0,224.93
22,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,941.0,4193.49,3.07
23,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,117.0,1767.38,65.75
24,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,171.0,3518.38,86.39
25,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,60.0,3097.85,14.0
26,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3335.0,27869.74,320.0
27,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3335.0,28461.1,320.0
28,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3335.0,28359.8,320.0
29,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,4228.0,12237.61,158.72
30,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3263.0,20885.78,432.0
31,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Pediatric,Yes,0.0,0.0,0.51
32,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,76.0,2282.57,27.2
33,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,23.0,2149.05,5.36
34,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,99.0,0.75,0.02
36,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Pediatric,Yes,0.0,0.0,0.54
38,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,509.0,5446.51,57.88
39,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,206.0,2656.12,25.83
41,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,14.0,360.0,0.0
42,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,HRDT,HIV test,Yes,0.0,0.0,21.44
43,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,373.0,4112.46,188.21
44,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,483.0,5468.88,61.56
45,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,33.0,1715.17,16.36
46,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,654.0,4051.34,154.29
47,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,0.65
48,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.39
49,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,81.0,2211.05,4.48
50,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Pediatric,Yes,0.0,0.0,0.12
51,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1251.0,16090.22,703.66
53,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,HRDT,HIV test,Yes,0.0,0.0,1.11
54,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1537.0,13507.92,29.37
55,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,0.2
56,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,3.05
57,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.64
58,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,117.0,645.1,98.35
59,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,109.0,782.13,15.68
60,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,54.0,871.57,22.88
61,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,1.68
62,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,2719.0,18614.72,148.38
63,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ACT,ACT,Yes,115.0,1755.87,2.48
64,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,2600.0,10179.16,97.44
65,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,Yes,0.0,0.0,1.11
66,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1224.0,4686.88,335.54
67,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,MRDT,Malaria,Yes,34.0,180.0,5.88
68,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1053.0,11062.05,634.95
70,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,562.0,11298.13,60.8
71,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ACT,ACT,Yes,1708.0,12830.91,19.11
72,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,0.0,0.0,0.89
73,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,46.0,2698.04,21.17
74,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,1.0,578.01,0.88
75,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,100.0,1122.24,12.5
76,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,3.59
77,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,5.38
78,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.68
79,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,0.18
80,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,2.7
81,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,MRDT,Malaria,Yes,0.0,0.0,7.94
82,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,4093.0,9339.0,4939.2
83,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ANTM,Malaria,Yes,5209.0,25405.22,5.35
84,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1906.0,23914.8,357.5
85,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,3509.0,12835.2,100.65
86,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,98.78
87,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,924.0,4225.93,142.81
88,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,211.0,892.5,39.69
89,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,Yes,644.0,6668.61,42.21
90,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,Yes,237.0,0.0,42.19
91,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2800.0,12595.81,363.78
92,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,11.0,463.0,9.28
93,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,43.0,260.0,1.49
94,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,No,0.0,0.0,0.79
95,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Pediatric,Yes,10.0,893.22,0.93
96,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,93.14
97,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,97.69
98,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,No,0.0,0.0,7.03
99,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,2.26
100,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,20.6
101,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,6.63
102,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,3.83
103,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,Yes,0.0,0.0,32.62
104,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,3.79
105,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,20.9
106,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,263.4
107,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,158.05
108,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,68.63
109,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,48.0,1172.11,13.72
110,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,2523.0,14806.48,824.89
111,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,175.0,7642.97,30.07
112,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,Yes,0.0,0.0,2.12
113,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,5.52
114,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,3134.85,38.75
115,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,144.0,3128.19,41.16
116,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2215.0,16835.31,1176.0
117,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1915.0,24514.33,1002.74
118,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,4482.0,31849.010000000002,757.31
119,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1101.0,8074.03,215.6
120,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,48.0,3366.04,1.2
121,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1804.0,6341.88,76.49
122,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,12.0,684.42,3.43
123,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,48.0,401.97,9.85
124,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,148.0,14.36,5.49
125,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,79.0,1736.18,13.8
126,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,0.96
127,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,80.95
128,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,Yes,0.0,0.0,5.56
129,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,165.0,1816.57,47.04
130,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,15.0,1039.5,47.04
131,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,555.0,3292.15,47.04
132,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,36.0,1195.29,47.04
133,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,135.0,0.0,47.04
134,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,479.0,4861.14,47.04
135,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,2575.0,18772.94,47.04
136,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
137,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,316.0,4989.87,47.04
138,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,25.0,0.0,47.04
139,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
140,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,47.04
141,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,47.04
143,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,2348.0,21439.59,300.0
144,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,402.0,4445.75,47.04
145,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1707.0,24859.45,47.04
146,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,306.0,0.0,23.97
147,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1194.0,5858.57,448.0
148,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,No,0.0,0.0,64.9
149,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,960.0,13762.41,3.07
150,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,No,0.0,0.0,3.36
151,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,No,0.0,0.0,3.36
152,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,332.0,4454.62,64.8
153,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1955.0,16095.39,443.88
154,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,117.0,1767.38,65.75
155,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3336.0,25165.3,320.0
156,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,157.0,7922.24,43.76
157,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Pediatric,No,0.0,0.0,2.32
158,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Adult,No,0.0,0.0,4.56
159,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,337.0,2535.4,29.33
160,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3336.0,28002.75,432.0
161,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,113.0,1511.25,48.36
162,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,125.0,2429.85,3.36
163,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,HRDT,HIV test,Yes,0.0,0.0,28.0
164,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,148.0,2577.27,83.19
165,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Adult,No,0.0,0.0,0.92
166,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,154.0,2496.62,23.04
167,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2907.0,18864.37,443.66
168,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,6684.0,31849.010000000002,460.8
169,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2052.0,24689.0,309.25
170,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,284.0,0.0,0.07
171,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,79.0,1104.69,15.29
172,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,682.0,5298.9,345.55
174,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,255.0,5175.72,124.99
175,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,256.0,7118.12,153.12
176,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,832.0,3740.04,42.6
177,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,49.0,959.46,24.53
178,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,39.0,604.0,5.6
180,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,25.22
181,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,0.08
182,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,17.48
183,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,507.0,4159.45,46.77
184,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,522.0,3796.05,123.43
185,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,17.0,0.0,0.0
186,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Adult,No,0.0,0.0,7.38
187,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Adult,Yes,0.0,0.0,6.65
188,SCMS,ASN,PMO - US,Direct Drop,DDP,Other,ARV,Adult,No,0.0,0.0,2.96
190,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,81.0,3013.09,4.48
191,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,502.0,7575.6,25.01
192,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,39.65
193,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,17.7
194,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,26.61
195,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,0.7
196,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,257.0,2851.72,154.08
197,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,234.0,5446.06,75.62
198,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,5311.0,30408.04,910.85
199,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,6684.0,31849.010000000002,1160.86
200,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,59.24
201,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1114.0,5822.44,41.83
202,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,1.06
203,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.14
204,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,1.75
205,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,0.24
206,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,889.0,7303.52,0.05
207,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,49.0,1047.39,30.05
208,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,Yes,1927.0,24870.05,0.1
209,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1566.0,19992.75,879.89
210,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,113.0,2709.98,69.92
211,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,159.0,2568.6,24.58
212,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,613.0,3247.73,167.77
213,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,323.0,2335.19,51.84
214,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,MRDT,Malaria,Yes,34.0,648.27,7.94
215,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2147.0,11066.17,257.39
216,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1445.0,7303.25,210.73
217,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,5057.0,31849.010000000002,257.53
218,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,Yes,0.0,0.0,11.33
219,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,0.89
220,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2509.0,19882.25,156.43
221,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2535.0,22433.91,158.23
222,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,HRDT,HIV test,Yes,0.0,0.0,24.91
223,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,581.0,2653.27,34.1
224,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,40.0
225,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.44
226,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,No,0.0,0.0,0.83
227,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,No,0.0,0.0,1.06
228,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,1723.0,22451.67,901.76
229,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,3.0,963.34,0.44
230,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,28.0,692.38,5.29
231,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,22.0,1003.52,4.26
232,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,2228.0,9809.7,42.34
233,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,15.3
234,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,2067.0,7933.38,2469.6
235,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,382.0,3241.06,230.5
236,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,187.0,1903.54,20.58
237,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2655.0,25052.69,1270.08
238,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,6.59
239,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,48.18
240,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,No,0.0,0.0,6.65
241,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,71.7
242,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,No,0.0,0.0,37.36
243,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,31.96
244,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,No,0.0,0.0,0.73
245,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,Yes,0.0,0.0,5.72
246,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Adult,No,0.0,0.0,7.91
247,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,3000.0,428.91,2.16
248,SCMS,ASN,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,Yes,0.0,0.0,315.36
249,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,No,0.0,0.0,4.44
250,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,No,0.0,0.0,29.69
251,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,719.0,853.88,139.83
252,SCMS,ASN,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,Yes,0.0,0.0,2.82
